order_ref,order_date,customer_email,product_sku,product_name,product_category,quantity,unit_price,total_amount,payment_method,region
ORD-000001,2025-10-01,customer165@gmail.com,SKU-ELEC-002,Laptop Ultra,Electronics,3,129533.52,388600.56,bank_transfer,Nyeri
ORD-000002,2025-10-24,customer94@gmail.com,SKU-ELEC-004,Smart Watch,Electronics,1,20113.59,20113.59,other,Kitale
ORD-000003,2025-09-30,customer115@kenya.co.ke,SKU-ELEC-005,Tablet Max,Electronics,4,34777.02,139108.08,mpesa,Kitale
ORD-000004,2025-08-08,customer14@outlook.com,SKU-BOOK-003,Design Patterns,Books,4,1868.98,7475.92,bank_transfer,Kakamega
ORD-000005,2025-10-09,customer10@gmail.com,SKU-CLOTH-004,Winter Jacket,Clothing,4,8394.14,33576.56,other,Nairobi
ORD-000006,2025-08-08,customer135@gmail.com,SKU-HOME-002,Blender Pro,Home & Kitchen,3,8569.82,25709.46,mpesa,Busia
ORD-000007,2025-08-15,customer141@kenya.co.ke,SKU-ELEC-002,Laptop Ultra,Electronics,2,130328.78,260657.56,mpesa,Nairobi
ORD-000008,2025-10-31,customer103@gmail.com,SKU-HOME-002,Blender Pro,Home & Kitchen,5,8781.05,43905.25,paystack,Kitale
ORD-000009,2025-09-29,customer72@gmail.com,SKU-CLOTH-002,Denim Jeans,Clothing,1,3736.74,3736.74,mpesa,Kakamega
ORD-000010,2025-09-20,customer193@yahoo.com,SKU-ELEC-001,Smartphone Pro,Electronics,3,80278.15,240834.45,paystack,Bungoma
ORD-000011,2025-08-21,customer109@kenya.co.ke,SKU-BOOK-001,Programming Guide,Books,1,2041.76,2041.76,mpesa,Kitale
ORD-000012,2025-09-13,customer189@yahoo.com,SKU-HOME-002,Blender Pro,Home & Kitchen,5,8687.42,43437.1,mpesa,Malindi
ORD-000013,2025-10-13,customer12@yahoo.co.ke,SKU-ELEC-004,Smart Watch,Electronics,5,20386.45,101932.25,mpesa,Machakos
ORD-000014,2025-11-04,customer7@yahoo.co.ke,SKU-BOOK-002,Data Science Book,Books,4,2202.37,8809.48,mpesa,Bungoma
ORD-000015,2025-08-28,customer6@yahoo.co.ke,SKU-BOOK-001,Programming Guide,Books,4,1753.03,7012.12,mpesa,Nyeri
ORD-000016,2025-10-02,customer118@gmail.com,SKU-CLOTH-003,Running Shoes,Clothing,4,5661.85,22647.4,paystack,Thika
